"","trueA","trueB","poolA","poolB","iclA","iclB","bilogA","bilogB","mirtA","mirtB","tamA","tamB","mirtPrA","mirtPrB"
"V40",1.478442,1.115057,1.50521149575346,1.07430456646074,1.554159,1.10686,1.54665,1.11083,1.5812354873215,-1.74085828271904,1.55690983437179,1.10971512105837,1.55065738868779,-1.71846022781686
"V41",1.448215,-0.848,1.48538518913981,-0.863835650476383,1.3978,-0.830594,1.33958,-0.81105,1.4246535659885,1.17660598465319,1.44306322856432,-0.831949944879564,1.39647805442768,1.15899430505611
"V42",0.995023,-1.892797,1.05467200657969,-1.70022752280694,0.661566,-1.228679,0.79349,-1.41204,-0.0073222964325813,-0.807260151721547,-0.070846300773397,-13.6068897648888,0.660072428955378,0.810734615868934
"V43",1.113189,1.690168,1.04747945248927,1.75605465262263,0.911308,1.574477,1.03786,1.6416,1.08164540052285,-1.77131451645507,1.04725702748955,1.63629597659524,0.907713670845657,-1.42952931711308
"V44",1.318333,2.177576,1.23691586229668,2.22660474045486,1.175235,2.229778,1.25152,2.21189,1.26981647251459,-2.77738974208973,1.30749063946163,2.18720864341328,1.17227666022732,-2.61755505395072
"V45",2.565785,0.42513,2.61226327898047,0.434211125969621,2.558232,0.440666,2.50393,0.43863,2.5810635274856,-1.1340954189715,2.55168912197007,0.448026575830248,2.55745550054024,-1.13037762540151
"V46",1.753743,0.54143,1.88202538696513,0.474919635127077,1.722672,0.569623,1.67971,0.56513,1.74197398408253,-0.988691743512467,1.73540882442197,0.577876511865777,1.72243803842351,-0.983558273849678
"V47",1.973258,-0.301238,2.05031840655523,-0.301946755640451,2.010177,-0.312537,2.0103,-0.31439,2.02916720688869,0.627863634528036,1.9911248090333,-0.306458656769542,2.00954487877765,0.626061311725351
"V48",1.371874,-1.417721,1.49710855706198,-1.32143514500554,1.394523,-1.399058,1.31468,-1.37019,1.45203667553248,2.01744524049938,1.48305765048842,-1.39649704262767,1.39148585777923,1.9465952090833
"V49",1.767441,-0.642801,1.81265304583724,-0.656133562153337,1.811245,-0.621525,1.82149,-0.61984,1.83139887117906,1.12953302518376,1.81768453771471,-0.617695501893608,1.81088231036127,1.12426432398897
"V50",4.625447,0.376799,4.88251388103538,0.363411260074444,4.563781,0.373927,4.57723,0.37164,4.61795035774199,-1.722981441335,4.50842347182825,0.383855816861632,4.56592156498399,-1.71336051707316
"V51",1.70213,0.605672,1.87056931638157,0.560714962455472,1.713995,0.600241,1.68068,0.59638,1.73352404712185,-1.03721941438624,1.705632190749,0.605623164872004,1.71252942597773,-1.03020784639893
"V52",1.569622,0.912602,1.76009941655144,0.806334445134493,1.554333,0.905327,1.53724,0.90636,1.58016410628006,-1.42418582495552,1.57101475285396,0.915047306014603,1.55552170779436,-1.41092427973515
"V53",1.295886,-0.860886,1.29825751154858,-0.777240632307612,1.17195,-0.901434,1.18149,-0.87685,1.23222758632547,1.11666728381044,1.20172493481088,-0.89553197312972,1.17119794713063,1.05537054508557
"V54",2.224231,-1.530422,2.2897252455793,-1.40969455508629,2.034151,-1.590198,1.94172,-1.59151,2.077804447541,3.27003358809121,2.0739551227029,-1.57654184942309,2.03142962972575,3.23086332130793
"V55",1.904639,0.711611,1.98042907027819,0.673799248419031,1.895194,0.6917,1.85948,0.68925,1.91470359285643,-1.31907449444176,1.89565275044095,0.698286472409893,1.89377399423712,-1.31265420882477
"V56",1.651209,2.256431,1.53945060923595,2.37831286051435,2.211549,2.118337,2.22845,2.12328,2.32057796697814,-4.84944474562435,2.35013605764817,2.09598511437596,2.20810692447446,-4.68310746197956
"V57",1.280921,-1.156078,1.44133860446628,-0.968944494261798,0.984803,-1.052002,1.03935,-1.0508,1.03073314752138,1.09503478163686,1.02447121530799,-1.06222892395566,0.983339603222536,1.0339197914875
"V58",1.113589,0.880821,1.01898807305434,0.899906584283155,0.791609,-0.407992,1.00554,0.10963,-1.22187502422942,4.66858202041219,2.00720718395149,1.0320156414157,0.791367277247029,0.322086711777902
"V59",1.576556,-0.647175,1.61381465272683,-0.610142029472694,1.536498,-0.637392,1.52518,-0.63254,1.55737455492461,0.985598176359551,1.52674337150575,-0.629107252915688,1.53442571635547,0.97660267590096
"V60",1.482482,0.16913,1.66720218736907,0.166794511423022,1.518016,0.174846,1.46839,0.16272,1.53519384487712,-0.269346307347335,1.50899437448209,0.181197606275162,1.51737698811966,-0.267180523479362
"V61",1.153565,1.870068,1.23886762127889,1.78190704188823,1.111564,1.886746,1.20407,1.89399,1.20949086133062,-2.26722248881027,1.22723402280373,1.88826761482722,1.10738071806023,-2.09170045345926
"V62",1.49028,-1.332341,1.31984997584422,-1.44712337400809,1.689069,-1.309903,1.52967,-1.29799,1.72737589584632,2.24451600593581,1.69807857673572,-1.30124388337941,1.68745544132021,2.21023917350653
"V63",1.438629,-0.34842,1.50746722996661,-0.270227273301464,1.395961,-0.380627,0.001,0,1.45092282825264,0.553738805988216,1.39513065741317,-0.37242908627042,1.39353884085246,0.528772249449743
"V64",1.218981,-1.305687,1.29570660048236,-1.24428810380537,0.900176,-1.324197,0.94294,-1.3205,0.939766139729805,1.25149215469852,0.906754343519002,-1.31951882128856,0.898610561072278,1.18956831908589
"V65",1.856277,-2.453294,1.89786853178795,-2.49881947524742,1.95116,-2.503691,1.95176,-2.48973,2.07341084408959,5.09258480137824,2.07057946772634,-2.46092782474651,1.94623485366034,4.87688798023034
